#BioSample,Assembly
SAMN26309256,GCA_023891125.1
SAMN05194542,GCA_012677445.1
SAMN26308774,GCA_025579625.2
SAMN13836993,GCA_018258695.1
SAMN55283950,GCA_055027995.1
SAMN10620129,GCF_004566955.1
SAMN47623359,GCA_049208975.1
SAMN31087199,GCF_025831535.1
SAMN31087338,GCF_025828755.1
SAMN04096291,GCA_012774935.1
SAMN43694180,GCF_046370525.1
SAMN36726672,GCA_032335395.2
SAMN43694157,GCF_046376245.1
SAMN43694165,GCF_046376125.1
SAMN07332520,GCA_012442225.1
SAMN31087289,GCF_025829695.1
SAMN36729021,GCA_032329495.2
SAMN31087090,GCF_025833755.1
SAMN26304556,GCA_025787975.2
SAMN37516941,GCA_032123115.2
SAMN05774075,GCA_012586815.1
SAMN07450847,GCA_012432675.1
SAMN47623384,GCA_049209735.1
SAMN03177656,GCF_000798455.1
SAMN31087361,GCF_025828275.1
SAMN06007769,GCA_012507815.1
SAMN23404404,GCF_022694405.1
SAMN36726425,GCA_032338205.2
SAMN47623348,GCA_049208725.1
SAMN26308888,GCA_023880285.1
SAMN48878707,GCA_053663375.1
SAMN26309244,GCA_025782975.2
SAMN06007776,GCA_012479855.1
SAMN26308831,GCF_023866585.1
SAMN26309228,GCA_023866555.1
SAMN40930645,GCA_038080215.1
SAMN36726478,GCA_032338595.2
SAMN04122819,GCA_012773855.1
SAMN26304623,GCA_023878265.1
SAMN26304553,GCA_023890085.1
SAMN13837003,GCA_018260765.1
SAMN31087257,GCF_025830395.1
SAMN12990657,GCA_012609195.1
SAMN36729080,GCA_032329935.2
SAMN03177624,GCF_000798275.1
SAMN03177636,GCF_000818985.1
SAMN10620158,GCF_004566465.1
SAMN36729119,GCA_032329155.2
SAMN48992318,GCA_050913975.1
SAMN26304761,GCA_023863885.1
SAMN26308856,GCA_023860005.1
SAMN26309198,GCA_023890985.1
SAMN36728929,GCA_032331575.2
SAMN31087241,GCF_025830725.1
SAMN48878736,GCA_053675875.1
SAMN48878857,GCA_053673555.1
SAMN36726638,GCA_032336075.2
SAMN48992320,GCA_050913955.1
SAMN47623349,GCA_049208745.1
SAMN31087254,GCF_025830415.1
SAMN31087215,GCF_025831215.1
SAMN26308742,GCA_023879635.1
SAMN36727270,GCA_032333855.2
SAMN48878370,GCA_053667215.1
SAMN26308793,GCA_023872805.1
SAMN26309322,GCA_023869765.1
SAMN47623332,GCA_049208405.1
SAMN26304355,GCA_023895495.1
SAMN31087382,GCF_025827855.1
SAMN36729192,GCA_032332355.2
SAMN10620115,GCF_004567115.1
SAMN36726462,GCA_032338275.2
SAMN12990620,GCA_012608355.1
SAMN36728890,GCA_032328745.2
SAMN48878418,GCA_053665735.1
SAMN31413811,GCF_026421005.1
SAMN10620160,GCF_004566455.1
SAMN36728956,GCA_032330195.2
SAMN10748605,GCF_004116915.1
SAMN48878957,GCA_053673995.1
SAMN48992314,GCA_050913895.1
SAMN43694153,GCF_046376345.1
SAMN36727292,GCA_032333415.2
SAMN31087183,GCF_025831815.1
SAMN31087252,GCF_025830475.1
SAMN36726624,GCA_032337535.2
SAMN36727319,GCA_032334015.2
SAMN26308794,GCA_023877445.1
SAMN26308848,GCA_023863845.1
SAMN26309325,GCA_023878845.1
SAMN36726447,GCA_032337755.2
SAMN36726454,GCA_032337935.2
SAMN26308429,GCA_025786505.2
SAMN37516893,GCA_032120615.2
SAMN36727317,GCA_032334035.2
SAMN05194543,GCA_012677185.1
SAMN26309270,GCA_023858345.1
SAMN26309203,GCA_025785545.2
SAMN48878824,GCA_053676195.1
SAMN26308566,GCA_025784135.2
SAMN31087335,GCF_025828815.1
SAMN10748446,GCF_004116595.1
SAMN04622923,GCA_012707305.1
SAMN31087177,GCF_025831965.1
SAMN47623373,GCA_049209235.1
SAMN26309324,GCA_023894885.1
SAMN31087195,GCF_025831645.1
SAMN26305183,GCA_023878065.1
SAMN26309433,GCA_025789575.2
SAMN36729131,GCA_032329275.2
SAMN37516880,GCA_032123075.2
SAMN04339716,GCA_012768095.1
SAMN26308832,GCA_023865935.1
SAMN10620150,GCF_004566595.1
SAMN10620122,GCF_004567565.1
SAMN36728941,GCA_032331715.2
SAMN26309223,GCA_023876545.1
SAMN31087099,GCF_025833535.1
SAMN48878699,GCA_053673235.1
SAMN26304659,GCA_023871695.1
SAMN12359619,GCA_012991465.1
SAMN26309212,GCA_024165785.1
SAMN11638310,GCA_014625455.1
SAMN26304411,GCA_023882195.1
SAMN40930689,GCA_038081335.1
SAMN04622926,GCA_012707245.1
SAMN12990622,GCA_012608495.1
SAMN36728991,GCA_031775865.2
SAMN07325894,GCA_012442945.1
SAMN26308809,GCA_025785025.2
SAMN05374480,GCA_012642885.1
SAMN10221040,GCA_004282155.1
SAMN10620091,GCF_004569995.1
SAMN26305200,GCA_025785945.2
SAMN36728971,GCA_032330335.2
SAMN04014852,GCF_002788295.1
SAMN07291544,GCF_003288455.1
SAMN26304572,GCA_023895535.1
SAMN47623304,GCA_049208905.1
SAMN10620103,GCF_004567265.1
SAMN31087122,GCF_025833105.1
SAMN26304876,GCA_025787555.2
SAMN04122814,GCA_012774455.1
SAMN48878905,GCA_053676455.1
SAMN48992306,GCA_050915615.1
SAMN04622919,GCA_012707325.1
SAMN26308787,GCA_023884525.1
SAMN31087381,GCF_025827885.1
SAMN48878926,GCA_053651355.1
SAMN36729044,GCA_031776175.2
SAMN36728928,GCA_032331595.2
SAMN04096289,GCA_012775005.1
SAMN26304469,GCA_023891325.1
SAMN04014847,GCF_002787215.1
SAMN26304412,GCA_023868315.1
SAMN26304555,GCA_025787705.2
SAMN26308823,GCF_023865695.1
SAMN13482050,GCA_012608095.1
SAMN31087376,GCF_025827975.1
SAMN36726657,GCA_032335115.2
SAMN26308959,GCA_023874385.1
SAMN31087284,GCF_025829855.1
SAMN31413808,GCF_026421085.1
SAMN31087123,GCF_025833055.1
SAMN26308833,GCA_023882335.1
SAMN03075589,GCF_000770285.1
SAMN55283945,GCA_055029395.1
SAMN36726481,GCA_032338655.2
SAMN47623362,GCA_049209035.1
SAMN31087167,GCF_025832165.1
SAMN31087226,GCF_025831025.1
SAMN36726424,GCA_032338195.2
SAMN10748581,GCF_004116695.1
SAMN16245247,GCA_020437505.1
SAMN12990681,GCA_012608675.1
SAMN43564953,GCA_044105695.1
SAMN12359588,GCA_012316585.1
SAMN11372894,GCA_012380475.1
SAMN13855149,GCA_012623905.1
SAMN26309163,GCA_023872405.1
SAMN10221341,GCA_012072985.1
SAMN10221664,GCA_012071665.1
SAMN26308812,GCA_023884075.1
SAMN47623379,GCA_049209655.1
SAMN43564969,GCA_044158945.1
SAMN26305070,GCA_023883645.1
SAMN26305150,GCA_023870865.1
SAMN16245285,GCA_014746575.1
SAMN31087317,GCF_025829195.1
SAMN16304153,GCF_015674505.1
SAMN43563494,GCA_044699825.1
SAMN13836990,GCA_018258795.1
SAMN12360017,GCA_012994645.1
SAMN10220975,GCA_003791245.1
SAMN12359945,GCA_016253935.1
SAMN13836986,GCA_018262065.1
SAMN26304816,GCA_023862245.1
SAMN43564667,GCA_044690425.1
SAMN43564356,GCA_044144835.1
SAMN14448590,GCA_012855195.1
SAMN26308477,GCF_023868135.1
SAMN26305089,GCA_023879325.1
SAMN03177648,GCF_000798415.1
SAMN43565156,GCA_044693865.1
SAMN12360022,GCA_012991505.1
SAMN12990696,GCA_012609515.1
SAMN06015667,GCA_012480115.3
SAMN26304636,GCA_023879495.1
SAMN43563976,GCA_044096895.1
SAMN16245229,GCA_014746475.1
SAMN43563531,GCA_044702305.1
SAMN03177677,GCF_000819245.1
SAMN12359730,GCA_012995905.1
SAMN12943742,GCA_012599895.1
SAMN10221223,GCA_012073245.1
SAMN26308996,GCF_023859805.1
SAMN10220963,GCA_003775245.1
SAMN12943705,GCA_012604235.1
SAMN12360005,GCA_015327825.1
SAMN26308420,GCA_023881225.1
SAMN43562996,GCA_044694445.1
SAMN26304386,GCA_023883385.1
SAMN26309072,GCF_023868215.1
SAMN43564924,GCA_044688925.1
SAMN26304587,GCA_025784155.2
SAMN48878348,GCA_053674515.1
SAMN26308711,GCA_023892145.1
SAMN11960651,GCA_012292965.1
SAMN10220972,GCA_003771435.1
SAMN10221657,GCA_012071865.1
SAMN26308994,GCA_023868875.1
SAMN26304507,GCF_023870085.1
SAMN16304158,GCF_015674365.1
SAMN26304628,GCA_023874805.1
SAMN43564640,GCA_044080975.1
SAMN16304077,GCF_015675905.1
SAMN12943503,GCA_012602775.1
SAMN16245118,GCA_014746185.1
SAMN43565206,GCA_044693285.1
SAMN12943651,GCA_012601795.1
SAMN26308923,GCA_023866715.1
SAMN06754732,GCA_012480135.1
SAMN26309290,GCA_023887245.1
SAMN06641842,GCF_003145495.1
SAMN48878913,GCA_053676575.1
SAMN26308882,GCA_023858045.1
SAMN16245235,GCA_014746075.1
SAMN26308955,GCA_025783835.2
SAMN43562771,GCA_044694885.1
SAMN26304522,GCA_023876015.1
SAMN11372906,GCA_012375495.1
SAMN10620119,GCF_004567595.1
SAMN12360020,GCA_012994525.1
SAMN26304514,GCA_023890425.1
SAMN26304511,GCF_023858105.1
SAMN26304649,GCA_023869085.1
SAMN10221406,GCA_012073945.1
SAMN43562928,GCA_044695485.1
SAMN43563190,GCA_044696865.1
SAMN26304828,GCA_025788155.2
SAMN43564392,GCA_044693805.1
SAMN06641865,GCF_003145305.1
SAMN48992303,GCA_050914335.1
SAMN26304990,GCA_023870425.1
SAMN12943467,GCA_012599945.1
SAMN16304223,GCF_015673295.1
SAMN12359672,GCA_012993025.1
SAMN43564979,GCA_044681635.1
SAMN26304839,GCA_023871845.1
SAMN26304481,GCA_023862385.1
SAMN26304796,GCA_023879905.1
SAMN43563014,GCA_044694195.1
SAMN26308872,GCA_025580985.2
SAMN16245263,GCA_020469285.1
SAMN26304704,GCA_023875805.1
SAMN26304734,GCF_023858465.1
SAMN31087107,GCF_025833375.1
SAMN26308759,GCA_023889885.1
SAMN26308719,GCA_023862845.1
SAMN43565055,GCA_044102675.1
SAMN26304743,GCA_023877955.1
SAMN10221560,GCA_012075545.1
SAMN47623383,GCA_049209715.1
SAMN26308404,GCA_023887035.1
SAMN13683693,GCA_012619445.1
SAMN48878802,GCA_053661315.1
SAMN12943618,GCA_012600225.1
SAMN26304965,GCA_023885795.1
SAMN31087201,GCF_025831455.1
SAMN12359894,GCA_012994805.1
SAMN10221642,GCA_012072605.1
SAMN26305165,GCA_023882925.1
SAMN26305254,GCA_023891625.1
SAMN43563023,GCA_044091215.1
SAMN12359542,GCA_015327245.1
SAMN26309377,GCA_023878585.1
SAMN11372905,GCA_012375455.1
SAMN12990655,GCA_012607595.1
SAMN26308357,GCA_023886975.1
SAMN43563774,GCA_044101495.1
SAMN12359933,GCA_012992005.1
SAMN43563412,GCA_044687145.1
SAMN26304793,GCA_023879425.1
SAMN26304674,GCA_023861765.1
SAMN11372848,GCA_012359855.1
SAMN12359697,GCA_012990425.1
SAMN10221036,GCA_012076365.1
SAMN26305127,GCA_025785445.2
SAMN43562907,GCA_044698655.1
SAMN43563802,GCA_044692315.1
SAMN26304598,GCA_023874825.1
SAMN26308900,GCA_023862685.1
SAMN10221231,GCA_004281715.1
SAMN11854358,GCA_012383375.1
SAMN12273952,GCA_012312745.1
SAMN26304727,GCA_023894255.1
SAMN10221367,GCA_003794355.1
SAMN16304253,GCF_015672825.1
SAMN05510454,GCA_012634105.1
SAMN10221051,GCA_012073165.1
SAMN43564281,GCA_044148305.1
SAMN16304085,GCF_015675755.1
SAMN43563360,GCA_044686085.1
SAMN26309359,GCA_023883305.1
SAMN48878059,GCA_053666635.1
SAMN26305148,GCA_023883405.1
SAMN36729132,GCA_031775935.2
SAMN43564868,GCA_044690925.1
SAMN12359994,GCA_012994245.1
SAMN43563470,GCA_044701665.1
SAMN43565132,GCA_044160865.1
SAMN12846495,GCA_012451865.1
SAMN10221451,GCA_003794615.1
SAMN10221588,GCA_003774345.1
SAMN16304315,GCF_015671735.1
SAMN43564539,GCA_044692785.1
SAMN10221474,GCA_012074225.1
SAMN11960653,GCA_012292845.2
SAMN11372930,GCA_012375135.1
SAMN16484120,GCA_014942455.1
SAMN26308811,GCA_023877685.1
SAMN12359995,GCA_012987705.1
SAMN26304618,GCA_023879565.1
SAMN10221595,GCA_015334245.1
SAMN31087398,GCF_025827575.1
SAMN43563473,GCA_044701685.1
SAMN43562833,GCA_044697605.1
SAMN26309187,GCA_023885705.1
SAMN43563764,GCA_044135575.1
SAMN31087217,GCF_025831175.1
SAMN26305004,GCA_023894745.1
SAMN26309162,GCA_025789615.2
SAMN12091250,GCA_012289125.1
SAMN10221218,GCA_012073375.1
SAMN12359853,GCA_012991025.1
SAMN43563676,GCA_044078835.1
SAMN26304694,GCA_025786465.2
SAMN43565016,GCA_044151965.1
SAMN12943646,GCA_012601155.1
SAMN03177626,GCF_000819365.1
SAMN48878536,GCA_053662995.1
SAMN12359803,GCA_012995005.1
SAMN10221222,GCA_012072625.1
SAMN11621531,GCF_006265085.1
SAMN10221378,GCA_004276345.1
SAMN22785518,GCA_020690505.1
SAMN26308849,GCA_023883685.1
SAMN13279665,GCA_012614965.1
