Assembly,qnr,aac6,oqx,qep,gyrA_mut,parC_mut,mutation_count,#BioSample,Organism group,Scientific name,Antibiotic,Resistance phenotype,Measurement sign,MIC (mg/L),MIC,Label
GCA_003774345.1,0,1,0,0,0,0,0,SAMN10221588,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003775245.1,0,0,0,0,0,0,0,SAMN10220963,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003791245.1,0,1,0,0,0,0,1,SAMN10220975,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003794355.1,0,0,0,0,0,0,0,SAMN10221367,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003794615.1,0,1,0,0,0,0,0,SAMN10221451,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_004281715.1,0,0,0,0,0,0,0,SAMN10221231,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_004282155.1,0,1,0,0,1,1,4,SAMN10221040,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,4.0,4.0,1
GCA_012071865.1,0,1,0,0,0,0,1,SAMN10221657,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012072605.1,0,0,0,0,0,0,0,SAMN10221642,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012072625.1,0,0,0,0,0,0,1,SAMN10221222,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012072985.1,0,0,0,0,0,0,0,SAMN10221341,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012073165.1,0,0,0,0,0,0,0,SAMN10221051,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012073945.1,0,0,0,0,0,0,0,SAMN10221406,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012074225.1,0,0,0,0,0,0,1,SAMN10221474,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012075545.1,0,0,0,0,0,0,0,SAMN10221560,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012292845.2,0,0,0,0,0,0,1,SAMN11960653,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012292965.1,0,0,0,0,0,0,1,SAMN11960651,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012359855.1,0,0,0,0,0,0,0,SAMN11372848,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03,0.03,0
GCA_012375135.1,0,0,0,0,0,0,0,SAMN11372930,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012375455.1,0,0,0,0,0,0,1,SAMN11372905,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012375495.1,0,0,0,0,0,0,1,SAMN11372906,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012383375.1,0,0,0,0,0,0,2,SAMN11854358,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012432675.1,0,0,0,0,1,1,6,SAMN07450847,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012442225.1,0,1,0,0,1,1,7,SAMN07332520,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012442945.1,0,0,0,0,1,1,5,SAMN07325894,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012451865.1,0,0,0,0,0,0,0,SAMN12846495,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012479855.1,0,0,0,0,1,1,5,SAMN06007776,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012480115.3,0,0,0,0,0,0,0,SAMN06015667,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_012480135.1,1,0,0,0,0,0,0,SAMN06754732,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,1.0,1.0,1
GCA_012507815.1,0,1,0,0,1,1,7,SAMN06007769,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012586815.1,0,1,0,0,1,1,7,SAMN05774075,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012599895.1,0,0,0,0,0,0,0,SAMN12943742,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012599945.1,0,1,0,0,0,0,0,SAMN12943467,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012600225.1,0,0,0,0,0,0,1,SAMN12943618,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012601155.1,0,0,0,0,0,0,2,SAMN12943646,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012601795.1,0,0,0,0,0,0,1,SAMN12943651,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012602775.1,0,0,0,0,0,0,0,SAMN12943503,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012607595.1,0,0,0,0,0,0,0,SAMN12990655,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012608095.1,1,0,0,0,0,0,0,SAMN13482050,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCA_012608355.1,0,1,0,0,1,0,1,SAMN12990620,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCA_012608495.1,1,1,0,0,0,0,0,SAMN12990622,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCA_012608675.1,0,0,0,0,0,0,0,SAMN12990681,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012609195.1,0,0,0,0,1,0,1,SAMN12990657,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCA_012609515.1,0,0,0,0,0,0,0,SAMN12990696,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012619445.1,0,0,0,0,0,0,0,SAMN13683693,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012623905.1,0,1,0,0,0,0,0,SAMN13855149,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012634105.1,0,0,0,0,1,0,4,SAMN05510454,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_012642885.1,0,1,0,0,1,1,7,SAMN05374480,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012677185.1,0,1,0,0,1,1,7,SAMN05194543,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012677445.1,0,1,0,0,1,1,7,SAMN05194542,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012707245.1,0,1,0,0,1,1,7,SAMN04622926,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012707305.1,0,1,0,0,1,1,7,SAMN04622923,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012707325.1,0,1,0,0,1,1,5,SAMN04622919,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012768095.1,0,0,0,0,1,1,6,SAMN04339716,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012773855.1,0,1,0,0,1,1,4,SAMN04122819,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012774455.1,0,1,0,0,1,1,7,SAMN04122814,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012774935.1,0,1,0,0,1,1,4,SAMN04096291,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012775005.1,0,1,0,0,1,1,7,SAMN04096289,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012990425.1,0,0,0,0,0,0,2,SAMN12359697,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012991465.1,1,0,0,0,0,0,0,SAMN12359619,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCA_012991505.1,0,0,0,0,0,0,1,SAMN12360022,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012992005.1,0,0,0,0,0,0,0,SAMN12359933,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012994245.1,0,1,0,0,0,0,0,SAMN12359994,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012994525.1,0,0,0,0,0,0,1,SAMN12360020,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012995005.1,0,0,0,0,0,0,0,SAMN12359803,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_014625455.1,0,1,0,0,1,1,6,SAMN11638310,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,256.0,256.0,1
GCA_014746185.1,0,1,0,0,0,0,1,SAMN16245118,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_014746475.1,0,0,0,0,0,0,0,SAMN16245229,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_014746575.1,0,0,0,0,0,0,0,SAMN16245285,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_014942455.1,0,0,0,0,0,0,0,SAMN16484120,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_015327245.1,0,0,0,0,0,0,2,SAMN12359542,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_015327825.1,0,0,0,0,0,0,2,SAMN12360005,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_015334245.1,0,0,0,0,0,0,2,SAMN10221595,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_018258695.1,0,0,0,0,1,1,7,SAMN13836993,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,,,0
GCA_018258795.1,0,0,0,0,0,0,2,SAMN13836990,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,,,0
GCA_018260765.1,0,0,0,0,1,1,7,SAMN13837003,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,,,0
GCA_018262065.1,0,0,0,0,1,0,1,SAMN13836986,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,,,0
GCA_020437505.1,0,0,0,0,0,0,1,SAMN16245247,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_020469285.1,0,0,0,0,0,0,1,SAMN16245263,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_020690505.1,0,0,0,0,0,0,0,SAMN22785518,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_023858045.1,0,0,0,0,0,0,3,SAMN26308882,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023858345.1,0,0,0,0,1,1,4,SAMN26309270,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023860005.1,0,0,0,0,1,1,7,SAMN26308856,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023862245.1,0,0,0,0,0,0,2,SAMN26304816,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023862385.1,0,0,0,0,0,0,1,SAMN26304481,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023862685.1,0,0,0,0,0,0,0,SAMN26308900,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023863845.1,0,1,0,0,1,1,7,SAMN26308848,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023863885.1,0,0,0,0,1,1,7,SAMN26304761,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023865935.1,0,1,0,0,1,1,7,SAMN26308832,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023866555.1,0,0,0,0,1,1,6,SAMN26309228,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023866715.1,0,0,0,0,0,0,1,SAMN26308923,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023868315.1,0,0,0,0,1,1,7,SAMN26304412,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023868875.1,0,0,0,0,0,0,1,SAMN26308994,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023869085.1,0,0,0,0,0,0,1,SAMN26304649,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023869765.1,0,0,0,0,1,1,4,SAMN26309322,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023870425.1,0,0,0,0,0,0,2,SAMN26304990,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023870865.1,0,0,0,0,0,0,1,SAMN26305150,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023871695.1,0,0,0,0,1,1,5,SAMN26304659,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023872405.1,0,0,0,0,0,0,2,SAMN26309163,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023872805.1,0,0,0,0,1,1,7,SAMN26308793,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023874385.1,0,0,0,0,1,1,3,SAMN26308959,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023874825.1,0,0,0,0,0,0,1,SAMN26304598,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023875805.1,0,0,0,0,1,0,4,SAMN26304704,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,1.0,1.0,1
GCA_023876015.1,0,0,0,0,0,0,2,SAMN26304522,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023876545.1,0,0,0,0,1,1,6,SAMN26309223,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023877445.1,0,1,0,0,1,1,8,SAMN26308794,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023877685.1,0,0,0,0,0,0,3,SAMN26308811,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023877955.1,0,0,0,0,0,0,1,SAMN26304743,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023878065.1,0,0,0,0,1,1,7,SAMN26305183,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023878265.1,0,0,0,0,1,1,7,SAMN26304623,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023878585.1,0,0,0,0,1,0,1,SAMN26309377,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023878845.1,0,0,0,0,1,1,5,SAMN26309325,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023879325.1,0,0,0,0,0,0,1,SAMN26305089,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023879565.1,0,0,0,0,0,0,1,SAMN26304618,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023879635.1,0,1,0,0,0,0,0,SAMN26308742,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023879905.1,0,0,0,0,0,0,1,SAMN26304796,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023880285.1,0,0,0,0,1,1,7,SAMN26308888,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023881225.1,0,0,0,0,0,0,2,SAMN26308420,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023882195.1,0,0,0,0,1,1,7,SAMN26304411,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023882335.1,0,0,0,0,1,1,8,SAMN26308833,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023882925.1,0,0,0,0,1,0,2,SAMN26305165,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,1.0,1.0,1
GCA_023883305.1,0,0,0,0,0,0,1,SAMN26309359,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023883385.1,0,0,0,0,0,0,1,SAMN26304386,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023883405.1,0,0,0,0,0,0,1,SAMN26305148,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023883645.1,0,1,0,0,0,0,3,SAMN26305070,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023883685.1,0,1,0,0,0,0,3,SAMN26308849,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023884075.1,0,0,0,0,0,0,3,SAMN26308812,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023884525.1,0,0,0,0,1,1,8,SAMN26308787,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023885705.1,0,0,0,0,0,0,2,SAMN26309187,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023885795.1,0,0,0,0,0,0,1,SAMN26304965,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023886975.1,1,0,0,0,0,0,0,SAMN26308357,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023887035.1,1,0,0,0,0,0,1,SAMN26308404,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023887245.1,0,0,0,0,0,0,1,SAMN26309290,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023889885.1,0,0,0,0,1,0,2,SAMN26308759,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023890085.1,0,0,0,0,1,1,7,SAMN26304553,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023890985.1,0,0,0,0,1,1,6,SAMN26309198,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023891125.1,0,0,0,0,1,1,6,SAMN26309256,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023891325.1,0,0,0,0,1,1,7,SAMN26304469,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023891625.1,0,0,0,0,0,0,1,SAMN26305254,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023894255.1,0,0,0,0,0,0,1,SAMN26304727,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023894745.1,0,0,0,0,0,0,2,SAMN26305004,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_023894885.1,0,0,0,0,1,1,5,SAMN26309324,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023895495.1,0,1,0,0,1,1,4,SAMN26304355,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_023895535.1,1,1,0,0,0,0,1,SAMN26304572,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_024165785.1,0,0,0,0,1,1,6,SAMN26309212,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025579625.2,0,0,0,0,1,1,7,SAMN26308774,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025782975.2,0,0,0,0,1,1,7,SAMN26309244,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025783835.2,0,0,0,0,0,0,0,SAMN26308955,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_025784135.2,0,0,0,0,1,1,6,SAMN26308566,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025784155.2,0,0,0,0,1,0,1,SAMN26304587,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_025785025.2,0,0,0,0,1,1,8,SAMN26308809,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025785445.2,0,0,0,0,0,0,1,SAMN26305127,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_025785545.2,0,0,0,0,1,1,5,SAMN26309203,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025785945.2,0,1,0,0,1,1,4,SAMN26305200,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025786505.2,1,1,0,0,1,1,3,SAMN26308429,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025787555.2,0,0,0,0,1,1,6,SAMN26304876,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025787705.2,0,0,0,0,1,1,7,SAMN26304555,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_025788155.2,0,0,0,0,0,0,1,SAMN26304828,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCA_025789575.2,0,0,0,0,1,1,5,SAMN26309433,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_031775865.2,0,1,0,0,1,1,7,SAMN36728991,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
