Assembly,qnr,aac6,oqx,qep,gyrA_mut,parC_mut,mutation_count,#BioSample,Organism group,Scientific name,Antibiotic,Resistance phenotype,Measurement sign,MIC (mg/L),MIC,Label
GCA_031775935.2,0,0,0,0,0,0,1,SAMN36729132,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_031776175.2,0,0,0,0,1,1,7,SAMN36729044,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032120615.2,0,0,0,0,1,1,6,SAMN37516893,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032123075.2,0,0,0,0,1,1,4,SAMN37516880,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032123115.2,0,0,0,0,1,1,6,SAMN37516941,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032328745.2,0,0,0,0,1,1,8,SAMN36728890,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032329155.2,0,0,0,0,1,1,3,SAMN36729119,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032329275.2,0,0,0,0,1,1,7,SAMN36729131,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032329495.2,0,0,0,0,1,1,7,SAMN36729021,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032329935.2,0,0,0,0,1,1,7,SAMN36729080,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032330195.2,0,1,0,0,1,1,7,SAMN36728956,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032330335.2,0,0,0,0,1,1,7,SAMN36728971,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032331575.2,0,0,0,0,1,1,6,SAMN36728929,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032331595.2,0,0,0,0,1,1,4,SAMN36728928,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032331715.2,0,0,0,0,1,1,4,SAMN36728941,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032332355.2,0,0,0,0,1,1,4,SAMN36729192,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032333415.2,0,0,0,0,1,1,5,SAMN36727292,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032333855.2,0,0,0,0,1,1,7,SAMN36727270,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032334015.2,1,0,0,0,0,0,1,SAMN36727319,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,1.0,1.0,1
GCA_032334035.2,0,0,0,0,1,1,6,SAMN36727317,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032335115.2,0,1,0,0,1,1,7,SAMN36726657,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032335395.2,0,1,0,0,1,1,8,SAMN36726672,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032336075.2,1,0,0,0,0,0,0,SAMN36726638,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,1.0,1.0,1
GCA_032337535.2,0,0,0,0,1,1,6,SAMN36726624,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032337755.2,0,0,0,0,1,1,5,SAMN36726447,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032337935.2,0,1,0,1,1,1,6,SAMN36726454,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032338195.2,0,1,0,0,1,1,6,SAMN36726424,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032338205.2,0,0,0,0,1,1,4,SAMN36726425,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032338275.2,0,1,0,0,1,1,4,SAMN36726462,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_032338595.2,0,0,0,0,0,0,2,SAMN36726478,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,8.0,8.0,1
GCA_032338655.2,0,1,0,0,1,1,8,SAMN36726481,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_038080215.1,0,0,0,0,1,1,7,SAMN40930645,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_038081335.1,0,1,0,0,1,1,7,SAMN40930689,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_044078835.1,0,0,0,0,0,0,0,SAMN43563676,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044080975.1,0,0,0,0,0,0,1,SAMN43564640,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044091215.1,0,0,0,0,0,0,0,SAMN43563023,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044096895.1,0,0,0,0,0,0,1,SAMN43563976,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044101495.1,0,1,0,0,0,0,0,SAMN43563774,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044105695.1,0,0,0,0,0,0,2,SAMN43564953,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044148305.1,0,0,0,0,0,0,1,SAMN43564281,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044151965.1,0,0,0,0,0,1,2,SAMN43565016,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044158945.1,0,0,0,0,0,0,1,SAMN43564969,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044160865.1,0,0,0,0,0,0,1,SAMN43565132,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044681635.1,0,0,0,0,0,0,1,SAMN43564979,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044686085.1,0,0,0,0,0,0,0,SAMN43563360,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044687145.1,0,0,0,0,0,0,0,SAMN43563412,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044688925.1,0,0,0,0,0,0,0,SAMN43564924,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044690425.1,0,0,0,0,0,0,1,SAMN43564667,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044690925.1,0,0,0,0,0,0,1,SAMN43564868,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044692315.1,0,0,0,0,0,0,2,SAMN43563802,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044692785.1,0,0,0,0,0,0,1,SAMN43564539,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044693285.1,0,0,0,0,0,0,0,SAMN43565206,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044693805.1,0,1,0,0,0,0,0,SAMN43564392,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044693865.1,0,1,0,0,0,0,0,SAMN43565156,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044694195.1,0,0,0,0,0,0,0,SAMN43563014,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044694445.1,0,1,0,0,0,0,2,SAMN43562996,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044694885.1,0,0,0,0,0,0,2,SAMN43562771,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044695485.1,0,1,0,0,0,0,1,SAMN43562928,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044697605.1,0,0,0,0,0,0,1,SAMN43562833,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044698655.1,0,0,0,0,0,1,3,SAMN43562907,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044699825.1,0,1,0,0,0,0,2,SAMN43563494,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044701665.1,0,0,0,0,0,0,1,SAMN43563470,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_044702305.1,0,0,0,0,0,0,0,SAMN43563531,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_049208405.1,1,0,0,0,0,0,2,SAMN47623332,E.coli and Shigella,Escherichia coli O102:H32,ciprofloxacin,resistant,==,0.25,0.25,0
GCA_049208725.1,1,0,0,0,0,0,0,SAMN47623348,E.coli and Shigella,Escherichia coli H32,ciprofloxacin,resistant,==,0.25,0.25,0
GCA_049208745.1,1,0,0,0,0,0,0,SAMN47623349,E.coli and Shigella,Escherichia coli O113:H4,ciprofloxacin,resistant,==,0.12,0.12,0
GCA_049208905.1,1,0,0,0,0,0,1,SAMN47623304,E.coli and Shigella,Escherichia coli H10,ciprofloxacin,resistant,==,0.25,0.25,0
GCA_049208975.1,1,1,0,0,0,0,0,SAMN47623359,E.coli and Shigella,Escherichia coli O187:H4,ciprofloxacin,resistant,==,0.12,0.12,0
GCA_049209035.1,1,0,0,0,0,0,0,SAMN47623362,E.coli and Shigella,Escherichia coli O166:H7,ciprofloxacin,resistant,==,0.5,0.5,0
GCA_049209235.1,1,1,0,0,0,0,0,SAMN47623373,E.coli and Shigella,Escherichia coli O20:H45,ciprofloxacin,resistant,==,0.25,0.25,0
GCA_049209655.1,0,0,0,0,0,0,0,SAMN47623379,E.coli and Shigella,Escherichia coli H37,ciprofloxacin,susceptible,<=,0.02,0.02,0
GCA_049209715.1,0,0,0,0,0,0,0,SAMN47623383,E.coli and Shigella,Escherichia coli O4:H45,ciprofloxacin,susceptible,<=,0.02,0.02,0
GCA_049209735.1,1,1,1,0,1,0,2,SAMN47623384,E.coli and Shigella,"Escherichia coli O8,155:H11",ciprofloxacin,resistant,==,8.0,8.0,1
GCA_050913955.1,1,0,0,0,0,0,0,SAMN48992320,E.coli and Shigella,Escherichia coli O121:H11,ciprofloxacin,resistant,==,0.25,0.25,0
GCA_050913975.1,1,0,0,0,0,0,0,SAMN48992318,E.coli and Shigella,Escherichia coli O8:H16,ciprofloxacin,resistant,==,0.5,0.5,0
GCA_050914335.1,0,0,0,0,0,1,1,SAMN48992303,E.coli and Shigella,"Escherichia coli O141,141ab,141ac:H29",ciprofloxacin,susceptible,<=,0.02,0.02,0
GCA_050915615.1,1,0,0,0,0,0,0,SAMN48992306,E.coli and Shigella,Escherichia coli O45:H4,ciprofloxacin,resistant,==,0.12,0.12,0
GCA_053651355.1,1,0,0,0,1,1,2,SAMN48878926,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053661315.1,0,0,0,0,0,0,3,SAMN48878802,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_053662995.1,0,0,0,0,0,0,1,SAMN48878536,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_053663375.1,0,1,0,0,1,1,7,SAMN48878707,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053665735.1,0,1,0,0,1,1,6,SAMN48878418,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053666635.1,0,0,0,0,1,0,4,SAMN48878059,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_053667215.1,0,0,0,0,1,1,7,SAMN48878370,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053673235.1,0,1,0,0,1,1,7,SAMN48878699,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053673555.1,0,1,0,0,1,1,6,SAMN48878857,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053673995.1,0,0,0,0,1,1,4,SAMN48878957,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053674515.1,0,0,0,0,0,0,5,SAMN48878348,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_053675875.1,0,0,0,0,1,1,4,SAMN48878736,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053676195.1,0,1,0,0,1,1,6,SAMN48878824,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_053676455.1,0,0,0,0,1,1,6,SAMN48878905,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_055027995.1,1,1,0,0,1,1,6,SAMN55283950,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCA_055029395.1,0,1,0,0,1,1,4,SAMN55283945,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCF_000770285.1,1,0,0,0,1,1,7,SAMN03075589,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_000798275.1,0,0,0,0,1,1,5,SAMN03177624,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,4.0,4.0,1
GCF_000798415.1,0,0,0,0,1,1,5,SAMN03177648,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.06,0.06,0
GCF_000798455.1,0,1,0,0,1,1,5,SAMN03177656,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,4.0,4.0,1
GCF_000818985.1,0,0,0,0,1,1,4,SAMN03177636,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,4.0,4.0,1
GCF_000819245.1,0,0,0,0,0,0,0,SAMN03177677,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCF_000819365.1,0,0,0,0,0,0,0,SAMN03177626,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03,0.03,0
GCF_002787215.1,0,1,0,0,1,1,5,SAMN04014847,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0,8.0,1
GCF_002788295.1,0,1,0,0,1,1,4,SAMN04014852,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0,8.0,1
GCF_003145305.1,0,0,0,0,0,0,1,SAMN06641865,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,,,0
GCF_003145495.1,0,0,0,0,0,0,0,SAMN06641842,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,,,0
GCF_003288455.1,1,1,0,0,1,1,7,SAMN07291544,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0,8.0,1
GCF_004116595.1,0,0,0,0,1,1,3,SAMN10748446,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,,,0
GCF_004116695.1,0,0,0,0,1,1,3,SAMN10748581,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,,,0
GCF_004116915.1,0,0,0,0,1,1,5,SAMN10748605,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,,,0
GCF_004566455.1,0,0,0,0,1,1,7,SAMN10620160,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_004566465.1,0,0,0,0,1,1,7,SAMN10620158,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_004566595.1,0,1,0,0,1,1,4,SAMN10620150,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_004566955.1,0,0,0,0,1,1,4,SAMN10620129,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_004567265.1,0,0,0,0,1,1,7,SAMN10620103,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_004567565.1,0,1,0,0,1,1,5,SAMN10620122,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_004567595.1,1,0,0,0,0,0,0,SAMN10620119,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCF_004569995.1,0,1,0,0,1,1,6,SAMN10620091,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCF_015671735.1,0,0,0,0,0,0,1,SAMN16304315,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<,0.015,0.015,0
GCF_015672825.1,0,0,0,0,0,0,0,SAMN16304253,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0,1.0,1
GCF_015673295.1,0,1,0,0,0,0,0,SAMN16304223,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0,1.0,1
GCF_015674365.1,0,0,0,0,0,0,0,SAMN16304158,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0,1.0,1
GCF_015674505.1,0,1,0,0,0,0,0,SAMN16304153,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0,1.0,1
GCF_015675755.1,0,0,0,0,0,0,0,SAMN16304085,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0,1.0,1
GCF_015675905.1,0,0,0,0,0,0,1,SAMN16304077,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,1.0,1.0,1
GCF_022694405.1,0,1,0,0,1,1,4,SAMN23404404,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,64.0,64.0,1
GCF_023858105.1,0,0,0,0,0,0,2,SAMN26304511,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCF_023858465.1,0,0,0,0,0,0,1,SAMN26304734,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCF_023859805.1,0,0,0,0,0,0,2,SAMN26308996,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCF_023865695.1,0,0,0,0,1,1,7,SAMN26308823,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCF_023866585.1,0,1,0,0,1,1,7,SAMN26308831,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0,2.0,1
GCF_023868135.1,0,1,0,0,1,0,5,SAMN26308477,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,1.0,1.0,1
GCF_023870085.1,0,0,0,0,0,0,3,SAMN26304507,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.5,0.5,0
GCF_025827575.1,0,0,0,0,0,0,2,SAMN31087398,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03,0.03,0
GCF_025827855.1,0,0,0,0,1,1,4,SAMN31087382,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0,8.0,1
GCF_025827885.1,0,0,0,0,1,0,1,SAMN31087381,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCF_025827975.1,0,1,0,0,1,1,5,SAMN31087376,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,8.0,8.0,1
GCF_025828275.1,0,0,0,0,1,0,3,SAMN31087361,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025828755.1,1,0,0,0,0,0,0,SAMN31087338,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025828815.1,0,0,0,0,1,0,1,SAMN31087335,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025829195.1,0,0,0,0,0,0,0,SAMN31087317,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03,0.03,0
GCF_025829695.1,1,0,0,0,0,0,1,SAMN31087289,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCF_025829855.1,1,1,0,0,0,0,0,SAMN31087284,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025830395.1,0,0,0,0,0,0,2,SAMN31087257,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.12,0.12,0
GCF_025830415.1,1,0,0,0,0,0,0,SAMN31087254,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025830475.1,0,1,0,0,1,1,4,SAMN31087252,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0,8.0,1
GCF_025830725.1,1,1,0,0,0,0,0,SAMN31087241,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCF_025831025.1,0,0,0,0,1,0,1,SAMN31087226,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025831175.1,0,0,0,0,0,0,0,SAMN31087217,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCF_025831215.1,0,0,0,0,1,0,2,SAMN31087215,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025831455.1,0,0,0,0,0,0,0,SAMN31087201,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03,0.03,0
GCF_025831535.1,1,0,0,0,0,0,0,SAMN31087199,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.12,0.12,0
GCF_025831645.1,1,1,0,0,0,0,0,SAMN31087195,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCF_025831815.1,1,0,0,0,0,0,0,SAMN31087183,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5,0.5,0
GCF_025831965.1,0,0,0,0,1,0,1,SAMN31087177,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025832165.1,1,0,0,0,0,0,0,SAMN31087167,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025833055.1,1,0,0,0,0,0,0,SAMN31087123,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25,0.25,0
GCF_025833105.1,0,1,0,0,1,1,4,SAMN31087122,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0,8.0,1
GCF_025833375.1,0,1,0,0,0,0,1,SAMN31087107,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCF_025833535.1,1,0,0,0,1,0,1,SAMN31087099,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,4.0,4.0,1
GCF_025833755.1,0,1,0,0,1,1,5,SAMN31087090,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0,8.0,1
GCF_026421005.1,0,1,0,0,1,1,4,SAMN31413811,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,4.0,4.0,1
GCF_026421085.1,0,1,0,0,1,1,4,SAMN31413808,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,4.0,4.0,1
